baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20250630,0500,PTY,20250630,2300,0,55,124
20250630,0500,POP,20250630,2300,30,55,124
20250630,0500,WAV,20250630,2300,-999,55,124
20250630,0500,PCP,20250630,2300,강수없음,55,124
20250630,0500,REH,20250630,2300,90,55,124
20250630,0500,SNO,20250630,2300,적설없음,55,124
20250630,0500,TMP,20250701,0000,24,55,124
20250630,0500,UUU,20250701,0000,0.6,55,124
20250630,0500,VVV,20250701,0000,2,55,124
20250630,0500,VEC,20250701,0000,197,55,124
20250630,0500,WSD,20250701,0000,2.1,55,124
20250630,0500,SKY,20250701,0000,4,55,124
20250630,0500,PTY,20250701,0000,0,55,124
20250630,0500,POP,20250701,0000,30,55,124
20250630,0500,WAV,20250701,0000,-999,55,124
20250630,0500,PCP,20250701,0000,강수없음,55,124
20250630,0500,REH,20250701,0000,90,55,124
20250630,0500,SNO,20250701,0000,적설없음,55,124
20250630,0500,TMP,20250701,0100,24,55,124
20250630,0500,UUU,20250701,0100,0.6,55,124
20250630,0500,VVV,20250701,0100,2.2,55,124
20250630,0500,VEC,20250701,0100,195,55,124
20250630,0500,WSD,20250701,0100,2.3,55,124
20250630,0500,SKY,20250701,0100,4,55,124
20250630,0500,PTY,20250701,0100,0,55,124
20250630,0500,POP,20250701,0100,30,55,124
20250630,0500,WAV,20250701,0100,-999,55,124
20250630,0500,PCP,20250701,0100,강수없음,55,124
20250630,0500,REH,20250701,0100,95,55,124
20250630,0500,SNO,20250701,0100,적설없음,55,124
20250630,0500,TMP,20250701,0200,24,55,124
20250630,0500,UUU,20250701,0200,0.9,55,124
20250630,0500,VVV,20250701,0200,2.2,55,124
20250630,0500,VEC,20250701,0200,202,55,124
20250630,0500,WSD,20250701,0200,2.4,55,124
20250630,0500,SKY,20250701,0200,4,55,124
20250630,0500,PTY,20250701,0200,0,55,124
20250630,0500,POP,20250701,0200,30,55,124
20250630,0500,WAV,20250701,0200,-999,55,124
20250630,0500,PCP,20250701,0200,강수없음,55,124
20250630,0500,REH,20250701,0200,95,55,124
20250630,0500,SNO,20250701,0200,적설없음,55,124
20250630,0500,TMP,20250701,0300,24,55,124
20250630,0500,UUU,20250701,0300,1,55,124
20250630,0500,VVV,20250701,0300,2.2,55,124
20250630,0500,VEC,20250701,0300,204,55,124
20250630,0500,WSD,20250701,0300,2.4,55,124
20250630,0500,SKY,20250701,0300,4,55,124
20250630,0500,PTY,20250701,0300,0,55,124
20250630,0500,POP,20250701,0300,30,55,124
20250630,0500,WAV,20250701,0300,-999,55,124
20250630,0500,PCP,20250701,0300,강수없음,55,124
20250630,0500,REH,20250701,0300,95,55,124
20250630,0500,SNO,20250701,0300,적설없음,55,124
20250630,0500,TMP,20250701,0400,24,55,124
20250630,0500,UUU,20250701,0400,1,55,124
20250630,0500,VVV,20250701,0400,2,55,124
20250630,0500,VEC,20250701,0400,207,55,124
20250630,0500,WSD,20250701,0400,2.2,55,124
20250630,0500,SKY,20250701,0400,4,55,124
